id nome email senha curso creditos
a3f2b700-91a1-4bb7-9dce-231c99117ad5 Joao joao@adm.ifpb.edu.br Jo@o2024! info 32
7d235c34-519e-455c-bec4-5b0c0177f4f2 Ana ana@adm.ifpb.edu.br An@#543pg pg 28
8de16a82-9b42-4f75-802c-29fa38059c9f Pedro pedro@adm.ifpb.edu.br PeD!ro789 edif 24
e17254c7-07ce-4700-9c0a-5e7997e612b2 Paulo paulo@adm.ifpb.edu.br P@ul0*Min min 36
a6fca75a-0488-4c83-a174-4035dfdb1ee7 Carla carla@adm.ifpb.edu.br CarL@123 quim 20
cd60b6fd-60d6-49be-905c-973cf28a00d6 Bruno bruno@outlook.com Br!uno456 engciv 48
51870a4b-f0aa-4e5c-8c14-73064883f45b Lucas lucas@hotmail.com Lc#9876x engcomp 40
d489ad5e-58a6-4b63-b2e7-b1d7c74d07f5 Julia julia@gmail.com JuL$21! tel 18
f6b3c27d-4a2b-47aa-b36f-fc7f008597de Rafael rafael@gmail.com R4f@eL! mat 42
b87cd262-ff46-4d9b-b305-e5b83a5cb32f Marina marina@hotmail.com Ma#2025fis fis 30
c1f3f0bc-7302-4cfa-a08e-b56f8f7c62fb Thiago thiago@gmail.com Th1@g0*123 info 34
e78dd44e-8a2f-4b3a-b9f7-392f0bb57e37 Beatriz beatriz@outlook.com Be@456Tri pg 27
9b1d0203-92a3-442e-95ff-7f697452e949 Fabio fabio@hotmail.com FaB!o2024 edif 36
63bfe248-02db-4766-bf6a-0549cf4589ea Larissa larissa@adm.ifpb.edu.br Lari#987 min 22
bc850ae4-72f4-4ec1-bf6a-66d7e5d9a45f Enzo enzo@gmail.com Enz0@comp quim 31
79c6e479-52a1-4601-9488-994c68d33d4e Yasmin yasmin@outlook.com Yas!321 engciv 38
c4c1b3f5-2ae3-4372-bc7a-1ab3be14b7de Igor igor@hotmail.com Ig@r753x engcomp 26
dba7ac3e-5a9b-4703-9d30-45c15d8ce5c5 Bianca bianca@gmail.com B1a$123 tel 16
aadcb445-f843-4c60-8586-7d4e80f95f61 Samuel samuel@adm.ifpb.edu.br Samu@ADM25 mat 44
4e6f0ae1-d537-4ff6-9e3e-8d9489d69c34 Helena helena@hotmail.com Hel#2025 fis 29
